"vibes","Movie","Name","Year","PP","DD","MM","FF","Ch","Nom","Pic","Dir","Aml","Afl","Ams","Afs","Scr","Cin","PrNl","PrWl","PrNs","PrWs","PrN","PrW","Gdr","Gmc","Gd","Gm1","Gm2","Gf1","Gf2","PGA","DGA","SAM","SAF","SAE","Age","Length","Days","WR","rating_val"
9.16666666666667,"The Zone of Interest","The Zone of Interest","2023","1","0","0","0","0",5,"1","1",0,0,0,0,1,"0",0,0,0,0,0,0,0,"0","0","0","0",0,"0","0","0","0","0","0",59,105,19,7.3,9.16666666666667
0,"All Quiet on the Western Front","All Quiet on the Western Front","2022","1","0","0","0","0",9,"1","0",0,0,0,0,1,"1",0,0,0,0,0,0,0,"0","0","0","0",0,"0","0","0","0","0","0",NA,148,135,7.8,0
0,"Avatar: The Way of Water","Avatar: The Way of Water","2022","1","0","0","0","0",4,"1","0",0,0,0,0,0,"0",0,0,0,0,0,0,0,"0","0","0","0",0,"0","0","0","0","0","0",NA,192,86,7.5,0
0,"Blonde","Ana de Armas","2022","0","0","0","1","0",1,"0","0",0,1,0,0,0,"0",0,0,0,0,0,0,0,"0","0","0","0",0,"0","0","0","0","0","0",34,167,165,5.5,6.66666666666667
0,"Elvis","Austin Butler","2022","0","0","1","0","0",8,"1","0",1,0,0,0,0,"1",0,0,0,0,0,0,0,"0","0","1","0",0,"0","0","0","0","0","0",31,159,261,7.3,6.41721854304636
0,"Elvis","Elvis","2022","1","0","0","0","0",8,"1","0",1,0,0,0,0,"1",0,0,0,0,0,0,0,"0","0","1","0",0,"0","0","0","0","0","0",NA,159,261,7.3,6.41721854304636
0,"Everything Everywhere All at Once","Michelle Yeoh","2022","0","0","0","1","1",11,"1","1",0,1,1,1,1,"0",0,0,0,0,0,0,0,"0","0","1","0",1,"0","1","1","1","1","1",59,139,338,7.8,0
0,"Everything Everywhere All at Once","Daniel Kwan & Daniel Schienert","2022","0","1","0","0","1",11,"1","1",0,1,1,1,1,"0",0,0,0,0,0,0,0,"0","0","1","0",1,"0","1","1","1","1","1",33.5,139,338,7.8,0
0,"Everything Everywhere All at Once","Everything Everywhere All at Once","2022","1","0","0","0","1",11,"1","1",0,1,1,1,1,"0",0,0,0,0,0,0,0,"0","0","1","0",1,"0","1","1","1","1","1",NA,139,338,7.8,0
0,"Aftersun","Paul Mescal","2022","0","0","1","0","0",1,"0","0",1,0,0,0,0,"0",0,0,0,0,0,0,0,"0","0","0","0",0,"0","0","1","0","0","0",26,102,114,7.6,0
0,"Living","Bill Nighy","2022","0","0","1","0","0",2,"0","0",1,0,0,0,1,"0",0,0,0,0,0,0,0,"0","0","0","0",0,"0","0","0","0","0","0",75,102,415,7.2,6.41379310344828
0,"Tar","Cate Blanchett","2022","0","0","0","1","0",6,"1","1",0,1,0,0,1,"1",4,1,0,0,7,2,0,"0","0","0","0",1,"0","0","0","0","0","0",55,158,192,7.4,3.92307692307692
0,"Tar","Todd Field","2022","0","1","0","0","0",6,"1","1",0,1,0,0,1,"1",4,1,0,0,7,2,0,"0","0","0","0",1,"0","0","0","0","0","0",NA,158,192,7.4,3.92307692307692
0,"Tar","Tar","2022","1","0","0","0","0",6,"1","1",0,1,0,0,1,"1",4,1,0,0,7,2,0,"0","0","0","0",1,"0","0","0","0","0","0",60,158,192,7.4,3.92307692307692
0,"The Banshees of Inisherin","Colin Farrell","2022","0","0","1","0","0",9,"1","1",1,0,1,1,1,"0",4,1,8,2,16,3,0,"1","0","0","1",0,"0","0","0","0","0","0",46,114,189,7.7,0
0,"The Banshees of Inisherin","Martin McDonach","2022","0","1","0","0","0",9,"1","1",1,0,1,1,1,"0",4,1,8,2,16,3,0,"1","0","0","1",0,"0","0","0","0","0","0",52,114,189,7.7,0
0,"The Banshees of Inisherin","The Banshees of Inisherin","2022","1","0","0","0","0",9,"1","1",1,0,1,1,1,"0",4,1,8,2,16,3,0,"1","0","0","1",0,"0","0","0","0","0","0",NA,114,189,7.7,0
0,"The Fabelmans","Michelle Williams","2022","0","0","0","1","0",7,"1","1",1,0,0,1,1,"1",0,0,1,0,8,2,0,"0","1","0","0",0,"0","0","0","0","0","0",42,151,121,7.5,0
0,"The Fabelmans","Steven Spielberg","2022","0","1","0","0","0",7,"1","1",1,0,0,1,1,"1",0,0,1,0,8,2,0,"0","1","0","0",0,"0","0","0","0","0","0",76,151,121,7.5,0
0,"The Fabelmans","The Fabelmans","2022","1","0","0","0","0",7,"1","1",1,0,0,1,1,"1",0,0,1,0,8,2,0,"0","1","0","0",0,"0","0","0","0","0","0",NA,151,121,7.5,0
0,"The Whale","Brendan Fraser","2022","0","0","1","0","1",3,"0","0",1,0,0,0,0,"0",1,1,1,0,2,0,0,"0","0","0","0",0,"0","0","0","1","0","0",54,117,815,7.6,7
0,"To Leslie","Andrea Riseborough","2022","0","0","0","1","0",1,"0","0",0,1,0,0,0,"0",1,0,0,0,1,0,0,"0","0","0","0",0,"0","0","0","0","0","0",41,119,1087,7.1,0
0,"Top Gun: Maverick","Top Gun: Maverick","2022","1","0","0","0","0",6,"1","0",0,0,0,0,1,"0",0,0,0,0,0,0,0,"0","0","0","0",0,"0","0","0","0","0","1",NA,130,289,8.2,0
0,"Triangle of Sadness","Ruben Ostlund","2022","0","1","0","0","0",3,"1","1",0,0,0,0,1,"0",0,0,0,0,2,0,0,"0","0","0","0",0,"0","0","0","0","0","0",48,147,175,7.3,0
0,"Triangle of Sadness","Triangle of Sadness","2022","1","0","0","0","0",3,"1","1",0,0,0,0,1,"0",0,0,0,0,2,0,0,"0","0","0","0",0,"0","0","0","0","0","0",NA,147,175,7.3,0
0,"Women Talking","Women Talking","2022","1","0","0","0","0",2,"1","1",0,0,1,1,1,"1",0,0,0,0,0,0,0,"0","0","0","0",0,"0","1","0","0","0","0",39,104,765,6.9,0
0,"King Richard","King Richard","2021","1","0","0","0","0",6,"1","0",1,0,0,1,1,"0",0,0,0,0,2,0,0,"0","0","1","0",0,"0","0","0","1","0","0",NA,144,127,7.5,0
0,"Belfast","Belfast","2021","1","0","0","0","0",7,"1","1",0,0,1,1,1,"0",0,0,0,0,0,0,0,"0","0","0","0",0,"0","0","0","0","0","0",NA,98,135,7.3,0
0,"Drive My Car","Drive My Car","2021","1","0","0","0","0",4,"1","1",0,0,0,0,1,"0",0,0,0,0,0,0,0,"0","0","0","0",0,"0","0","0","0","0","0",NA,179,124,7.7,0
0,"The Power of the Dog","The Power of the Dog","2021","1","0","0","0","0",12,"1","1",1,0,1,1,1,"1",0,0,0,0,0,0,1,"0","1","0","0",0,"0","0","1","0","0","0",NA,126,117,6.9,0
0,"Coda","Coda","2021","1","0","0","0","1",3,"1","0",0,0,1,0,1,"0",0,0,0,0,0,0,0,"0","0","0","0",0,"0","1","0","0","0","1",NA,111,227,8,0
0,"Don't Look Up","Don't Look Up","2021","1","0","0","0","0",4,"1","0",0,0,0,0,1,"0",0,0,0,0,0,0,0,"0","0","0","0",0,"0","0","0","0","0","0",NA,138,94,7.2,0
0,"Dune","Dune","2021","1","0","0","0","0",10,"1","0",0,0,0,0,1,"1",0,0,0,0,0,0,0,"0","0","0","0",0,"0","0","0","0","0","0",NA,156,156,8.1,5.35135135135135
0,"Licorice Pizza","Licorice Pizza","2021","1","0","0","0","0",3,"1","1",0,0,0,0,1,"0",0,0,0,0,0,0,0,"0","0","0","0",0,"0","0","0","0","0","0",NA,133,92,7.4,0
0,"Nightmare Alley","Nightmare Alley","2021","1","0","0","0","0",4,"1","0",0,0,0,0,0,"1",0,0,0,0,0,0,0,"0","0","0","0",0,"0","0","0","0","0","0",NA,150,100,7.1,7.69758064516129
0,"West Side Story","West Side Story","2021","1","0","0","0","0",7,"1","1",0,0,0,1,0,"1",0,0,0,0,0,0,0,"1","0","0","0",0,"1","0","0","0","0","0",NA,156,105,7.4,7.65610859728507
0,"Belfast","Kenneth Branagh","2021","0","1","0","0","0",7,"1","1",0,0,1,1,1,"0",0,0,0,0,1,0,0,"0","0","0","0",0,"0","0","0","0","0","0",61,98,135,7.3,0
0,"Drive my Car","Rysuke Hamaguchi","2021","0","1","0","0","0",4,"1","1",0,0,0,0,1,"0",0,0,0,0,0,0,0,"0","0","0","0",0,"0","0","0","0","0","0",43,179,124,7.7,0
